movie_id,title,release_year,genres,budget,original_language,original_title,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,vote_average
1,Toy Story,1995,Animation-Children's-Comedy-Family,30000000,en,Toy Story,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,Pixar Animation Studios,United States of America,1995-10-30,373554033.0,81.0,English,7.7
2,Jumanji,1995,Adventure-Children's-Family-Fantasy,65000000,en,Jumanji,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,TriStar Pictures-Teitler Film-Interscope Communications,United States of America,1995-12-15,262797249.0,104.0,English-Français,6.9
3,Grumpier Old Men,1995,Comedy-Romance,0,en,Grumpier Old Men,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,Warner Bros.-Lancaster Gate,United States of America,1995-12-22,0.0,101.0,English,6.5
4,Waiting to Exhale,1995,Comedy-Drama-Romance,16000000,en,Waiting to Exhale,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,Twentieth Century Fox Film Corporation,United States of America,1995-12-22,81452156.0,127.0,English,6.1
5,Father of the Bride Part II,1995,Comedy,0,en,Father of the Bride Part II,/e64sOI48hQXyru7naBFyssKFxVd.jpg,Sandollar Productions-Touchstone Pictures,United States of America,1995-02-10,76578911.0,106.0,English,5.7
6,Heat,1995,Action-Crime-Drama-Thriller,60000000,en,Heat,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,Regency Enterprises-Forward Pass-Warner Bros.,United States of America,1995-12-15,187436818.0,170.0,English-Español,7.7
7,Sabrina,1995,Comedy-Romance,58000000,en,Sabrina,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,Paramount Pictures-Scott Rudin Productions-Mirage Enterprises-Sandollar Productions-Constellation Entertainment-Worldwide-Mont Blanc Entertainment GmbH,Germany-United States of America,1995-12-15,0.0,127.0,Français-English,6.2
8,Tom and Huck,1995,Action-Adventure-Children's-Drama-Family,0,en,Tom and Huck,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,Walt Disney Pictures,United States of America,1995-12-22,0.0,97.0,English-Deutsch,5.4
9,Sudden Death,1995,Action-Adventure-Thriller,35000000,en,Sudden Death,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,Universal Pictures-Imperial Entertainment-Signature Entertainment,United States of America,1995-12-22,64350171.0,106.0,English,5.5
10,GoldenEye,1995,Action-Adventure-Thriller,58000000,en,GoldenEye,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,United Artists-Eon Productions,United Kingdom-United States of America,1995-11-16,352194034.0,130.0,English-Pусский-Español,6.6
